Sample,Time(S),CH1(V)
218,-4.782,0.0898299
219,-4.781,0.0724414
220,-4.78,0.0567918
221,-4.779,0.0411421
222,-4.778,0.0254925
223,-4.777,0.00636511
224,-4.776,-0.00754569
225,-4.775,-0.0249342
226,-4.774,-0.0371062
227,-4.773,-0.0527558
228,-4.772,-0.0649278
229,-4.771,-0.0770997
230,-4.77,-0.0910105
231,-4.769,-0.0979659
232,-4.768,-0.108399
233,-4.767,-0.115354
234,-4.766,-0.120571
235,-4.765,-0.124049
236,-4.764,-0.131004
237,-4.763,-0.131004
238,-4.762,-0.132743
239,-4.761,-0.132743
240,-4.76,-0.131004
241,-4.759,-0.127526
242,-4.758,-0.124049
243,-4.757,-0.120571
244,-4.756,-0.117093
245,-4.755,-0.113616
246,-4.754,-0.10666
247,-4.753,-0.103182
248,-4.752,-0.0962271
249,-4.751,-0.0927494
250,-4.75,-0.0892717
251,-4.749,-0.085794
252,-4.748,-0.0840551
253,-4.747,-0.0788386
254,-4.746,-0.0770997
255,-4.745,-0.0770997
256,-4.744,-0.073622
257,-4.743,-0.073622
258,-4.742,-0.073622
259,-4.741,-0.0701443
260,-4.74,-0.0701443
261,-4.739,-0.0684055
262,-4.738,-0.0684055
263,-4.737,-0.0666666
264,-4.736,-0.0666666
265,-4.735,-0.0666666
266,-4.734,-0.0649278
267,-4.733,-0.0684055
268,-4.732,-0.0701443
269,-4.731,-0.0718832
270,-4.73,-0.0753609
271,-4.729,-0.0788386
272,-4.728,-0.0840551
273,-4.727,-0.0875328
274,-4.726,-0.0927494
275,-4.725,-0.0927494
276,-4.724,-0.0944882
277,-4.723,-0.0944882
278,-4.722,-0.0927494
279,-4.721,-0.0892717
280,-4.72,-0.085794
281,-4.719,-0.0788386
282,-4.718,-0.0701443
283,-4.717,-0.0614501
284,-4.716,-0.0492781
285,-4.715,-0.038845
286,-4.714,-0.0231954
287,-4.713,-0.00928454
288,-4.712,0.00810396
289,-4.711,0.0289702
290,-4.71,0.0480975
291,-4.709,0.0707026
292,-4.708,0.0933077
293,-4.707,0.114174
294,-4.706,0.136779
295,-4.705,0.161123
296,-4.704,0.185467
297,-4.703,0.208072
298,-4.702,0.230677
299,-4.701,0.253282
300,-4.7,0.274148
301,-4.699,0.293275
302,-4.698,0.308925
303,-4.697,0.328052
304,-4.696,0.340224
305,-4.695,0.352396
306,-4.694,0.36283
307,-4.693,0.371524
308,-4.692,0.375001
309,-4.691,0.380218
310,-4.69,0.383696
311,-4.689,0.388912
312,-4.688,0.388912
