Sample,Time(S),CH1(V)
194,-6.06e-06,0.000790078
195,-6.05e-06,0.00217012
196,-6.04e-06,0.000790078
197,-6.03e-06,-0.000589962
198,-6.02e-06,0.00217012
199,-6.01e-06,0.000790078
200,-6e-06,0.000790078
201,-5.99e-06,-0.00197
202,-5.98e-06,-0.000589962
203,-5.97e-06,0.000790078
204,-5.96e-06,-0.00197
205,-5.95e-06,-0.00197
206,-5.94e-06,-0.00197
207,-5.93e-06,0.000790078
208,-5.92e-06,0.000790078
209,-5.91e-06,0.000790078
210,-5.9e-06,-0.000589962
211,-5.89e-06,0.0049302
212,-5.88e-06,0.00217012
213,-5.87e-06,0.00217012
214,-5.86e-06,-0.000589962
215,-5.85e-06,0.000790078
216,-5.84e-06,-0.000589962
217,-5.83e-06,0.000790078
218,-5.82e-06,0.00217012
219,-5.81e-06,-0.000589962
220,-5.8e-06,0.000790078
221,-5.79e-06,0.00217012
222,-5.78e-06,-0.00197
223,-5.77e-06,-0.00197
224,-5.76e-06,-0.000589962
225,-5.75e-06,-0.000589962
226,-5.74e-06,-0.00197
227,-5.73e-06,-0.000589962
228,-5.72e-06,-0.000589962
229,-5.71e-06,-0.000589962
230,-5.7e-06,0.000790078
231,-5.69e-06,-0.000589962
232,-5.68e-06,0.000790078
233,-5.67e-06,-0.00197
234,-5.66e-06,-0.00197
235,-5.65e-06,-0.00197
236,-5.64e-06,-0.000589962
237,-5.63e-06,0.000790078
238,-5.62e-06,-0.00197
239,-5.61e-06,0.000790078
240,-5.6e-06,-0.000589962
241,-5.59e-06,-0.00197
242,-5.58e-06,-0.00335004
243,-5.57e-06,-0.000589962
244,-5.56e-06,-0.00197
245,-5.55e-06,-0.000589962
246,-5.54e-06,0.000790078
247,-5.53e-06,0.000790078
248,-5.52e-06,0.000790078
249,-5.51e-06,-0.000589962
250,-5.5e-06,0.000790078
251,-5.49e-06,0.000790078
252,-5.48e-06,0.000790078
253,-5.47e-06,-0.000589962
254,-5.46e-06,-0.00197
255,-5.45e-06,-0.000589962
256,-5.44e-06,-0.00197
257,-5.43e-06,-0.000589962
258,-5.42e-06,-0.000589962
259,-5.41e-06,0.000790078
260,-5.4e-06,0.000790078
261,-5.39e-06,0.00217012
262,-5.38e-06,-0.00197
263,-5.37e-06,0.00217012
264,-5.36e-06,0.000790078
265,-5.35e-06,0.000790078
266,-5.34e-06,-0.00335004
267,-5.33e-06,0.000790078
268,-5.32e-06,0.00217012
269,-5.31e-06,0.00217012
270,-5.3e-06,0.00217012
271,-5.29e-06,0.000790078
272,-5.28e-06,-0.000589962
273,-5.27e-06,0.00217012
274,-5.26e-06,-0.000589962
275,-5.25e-06,-0.000589962
276,-5.24e-06,0.000790078
277,-5.23e-06,0.000790078
278,-5.22e-06,0.000790078
279,-5.21e-06,0.000790078
280,-5.2e-06,-0.000589962
281,-5.19e-06,0.00217012
282,-5.18e-06,0.000790078
283,-5.17e-06,0.00217012
284,-5.16e-06,0.00217012
285,-5.15e-06,0.000790078
286,-5.14e-06,0.000790078
287,-5.13e-06,0.000790078
288,-5.12e-06,-0.00197
289,-5.11e-06,-0.000589962
290,-5.1e-06,0.000790078
291,-5.09e-06,0.00217012
292,-5.08e-06,0.000790078
293,-5.07e-06,0.00217012
294,-5.06e-06,0.000790078
295,-5.05e-06,0.000790078
296,-5.04e-06,0.00217012
297,-5.03e-06,0.00217012
298,-5.02e-06,0.00217012
299,-5.01e-06,0.00217012
300,-5e-06,-0.000589962
301,-4.99e-06,-0.000589962
302,-4.98e-06,-0.000589962
303,-4.97e-06,0.00217012
304,-4.96e-06,0.000790078
305,-4.95e-06,-0.000589962
306,-4.94e-06,0.000790078
307,-4.93e-06,-0.000589962
308,-4.92e-06,0.000790078
309,-4.91e-06,0.00217012
310,-4.9e-06,-0.000589962
311,-4.89e-06,-0.000589962
312,-4.88e-06,0.000790078
313,-4.87e-06,-0.000589962
314,-4.86e-06,-0.000589962
315,-4.85e-06,0.000790078
316,-4.84e-06,-0.00197
317,-4.83e-06,-0.00197
318,-4.82e-06,-0.000589962
319,-4.81e-06,0.00217012
320,-4.8e-06,0.000790078
321,-4.79e-06,-0.00197
322,-4.78e-06,-0.00335004
323,-4.77e-06,-0.000589962
324,-4.76e-06,-0.00335004
325,-4.75e-06,-0.000589962
326,-4.74e-06,-0.000589962
327,-4.73e-06,-0.000589962
328,-4.72e-06,-0.00335004
329,-4.71e-06,-0.000589962
330,-4.7e-06,-0.000589962
331,-4.69e-06,-0.000589962
332,-4.68e-06,-0.000589962
333,-4.67e-06,-0.000589962
334,-4.66e-06,0.000790078
335,-4.65e-06,-0.000589962
336,-4.64e-06,-0.00197
337,-4.63e-06,-0.000589962
338,-4.62e-06,-0.00335004
339,-4.61e-06,-0.00197
340,-4.6e-06,-0.00335004
341,-4.59e-06,-0.00335004
342,-4.58e-06,-0.00197
343,-4.57e-06,-0.000589962
344,-4.56e-06,0.00217012
345,-4.55e-06,0.00217012
346,-4.54e-06,-0.000589962
347,-4.53e-06,-0.00197
348,-4.52e-06,0.000790078
349,-4.51e-06,-0.000589962
350,-4.5e-06,0.000790078
351,-4.49e-06,-0.000589962
352,-4.48e-06,0.000790078
353,-4.47e-06,0.00217012
354,-4.46e-06,0.000790078
355,-4.45e-06,-0.000589962
356,-4.44e-06,0.0049302
357,-4.43e-06,0.000790078
358,-4.42e-06,-0.000589962
359,-4.41e-06,0.000790078
360,-4.4e-06,-0.000589962
361,-4.39e-06,0.0049302
362,-4.38e-06,-0.000589962
363,-4.37e-06,-0.000589962
364,-4.36e-06,-0.000589962
365,-4.35e-06,-0.000589962
366,-4.34e-06,0.000790078
367,-4.33e-06,-0.000589962
368,-4.32e-06,-0.00197
369,-4.31e-06,-0.000589962
370,-4.3e-06,-0.000589962
371,-4.29e-06,-0.000589962
372,-4.28e-06,-0.000589962
373,-4.27e-06,-0.000589962
374,-4.26e-06,-0.000589962
375,-4.25e-06,0.000790078
376,-4.24e-06,0.00217012
377,-4.23e-06,0.00217012
378,-4.22e-06,-0.000589962
379,-4.21e-06,-0.000589962
380,-4.2e-06,0.000790078
381,-4.19e-06,0.00217012
382,-4.18e-06,0.000790078
383,-4.17e-06,0.000790078
384,-4.16e-06,-0.000589962
385,-4.15e-06,-0.000589962
386,-4.14e-06,-0.00197
387,-4.13e-06,-0.000589962
388,-4.12e-06,0.000790078
389,-4.11e-06,0.000790078
390,-4.1e-06,-0.00197
391,-4.09e-06,0.000790078
392,-4.08e-06,-0.000589962
393,-4.07e-06,-0.000589962
394,-4.06e-06,-0.000589962
395,-4.05e-06,-0.00197
396,-4.04e-06,-0.000589962
397,-4.03e-06,-0.000589962
398,-4.02e-06,0.000790078
399,-4.01e-06,0.000790078
400,-4e-06,-0.000589962
401,-3.99e-06,0.000790078
402,-3.98e-06,0.00217012
403,-3.97e-06,-0.000589962
404,-3.96e-06,0.000790078
405,-3.95e-06,-0.000589962
406,-3.94e-06,0.000790078
407,-3.93e-06,-0.000589962
408,-3.92e-06,-0.000589962
409,-3.91e-06,-0.00197
410,-3.9e-06,0.000790078
411,-3.89e-06,0.000790078
412,-3.88e-06,0.00217012
413,-3.87e-06,0.00217012
414,-3.86e-06,0.00217012
415,-3.85e-06,0.000790078
416,-3.84e-06,0.00217012
417,-3.83e-06,0.00217012
418,-3.82e-06,-0.000589962
419,-3.81e-06,0.000790078
420,-3.8e-06,0.0049302
421,-3.79e-06,0.000790078
422,-3.78e-06,0.000790078
423,-3.77e-06,0.000790078
424,-3.76e-06,-0.000589962
425,-3.75e-06,-0.000589962
426,-3.74e-06,-0.000589962
427,-3.73e-06,0.00217012
428,-3.72e-06,0.000790078
429,-3.71e-06,-0.000589962
430,-3.7e-06,-0.000589962
431,-3.69e-06,0.000790078
432,-3.68e-06,0.000790078
433,-3.67e-06,-0.00197
434,-3.66e-06,-0.000589962
435,-3.65e-06,-0.000589962
436,-3.64e-06,0.000790078
437,-3.63e-06,0.000790078
438,-3.62e-06,-0.000589962
439,-3.61e-06,0.000790078
440,-3.6e-06,-0.000589962
441,-3.59e-06,0.000790078
442,-3.58e-06,-0.000589962
443,-3.57e-06,-0.000589962
444,-3.56e-06,-0.000589962
445,-3.55e-06,0.00217012
446,-3.54e-06,0.000790078
447,-3.53e-06,-0.000589962
448,-3.52e-06,0.00217012
449,-3.51e-06,0.000790078
450,-3.5e-06,0.000790078
451,-3.49e-06,0.000790078
452,-3.48e-06,0.00217012
453,-3.47e-06,0.00217012
454,-3.46e-06,-0.000589962
455,-3.45e-06,-0.00197
456,-3.44e-06,0.000790078
457,-3.43e-06,0.000790078
458,-3.42e-06,0.00217012
459,-3.41e-06,-0.00197
460,-3.4e-06,0.000790078
461,-3.39e-06,0.000790078
462,-3.38e-06,-0.00197
463,-3.37e-06,-0.000589962
464,-3.36e-06,-0.000589962
465,-3.35e-06,-0.000589962
466,-3.34e-06,0.000790078
467,-3.33e-06,0.000790078
468,-3.32e-06,-0.000589962
469,-3.31e-06,0.000790078
470,-3.3e-06,-0.000589962
471,-3.29e-06,-0.00197
472,-3.28e-06,-0.00335004
473,-3.27e-06,0.000790078
474,-3.26e-06,0.000790078
475,-3.25e-06,0.000790078
476,-3.24e-06,-0.000589962
477,-3.23e-06,0.000790078
478,-3.22e-06,-0.00197
479,-3.21e-06,0.000790078
480,-3.2e-06,-0.000589962
481,-3.19e-06,-0.000589962
482,-3.18e-06,-0.000589962
483,-3.17e-06,0.000790078
484,-3.16e-06,-0.000589962
485,-3.15e-06,-0.00197
486,-3.14e-06,0.000790078
487,-3.13e-06,0.00217012
488,-3.12e-06,0.000790078
489,-3.11e-06,0.000790078
490,-3.1e-06,-0.000589962
491,-3.09e-06,-0.000589962
492,-3.08e-06,0.00217012
493,-3.07e-06,0.00217012
494,-3.06e-06,-0.000589962
495,-3.05e-06,-0.000589962
496,-3.04e-06,-0.000589962
497,-3.03e-06,-0.00197
498,-3.02e-06,-0.000589962
499,-3.01e-06,0.00217012
500,-3e-06,-0.000589962
501,-2.99e-06,-0.00197
502,-2.98e-06,-0.00197
503,-2.97e-06,0.000790078
504,-2.96e-06,-0.000589962
505,-2.95e-06,-0.000589962
506,-2.94e-06,-0.00197
507,-2.93e-06,-0.000589962
508,-2.92e-06,-0.00197
509,-2.91e-06,-0.000589962
510,-2.9e-06,-0.000589962
511,-2.89e-06,0.000790078
512,-2.88e-06,0.000790078
513,-2.87e-06,-0.000589962
514,-2.86e-06,0.000790078
515,-2.85e-06,-0.00197
516,-2.84e-06,0.000790078
517,-2.83e-06,0.000790078
518,-2.82e-06,-0.00197
519,-2.81e-06,-0.00197
520,-2.8e-06,-0.000589962
521,-2.79e-06,0.00217012
522,-2.78e-06,-0.000589962
523,-2.77e-06,-0.000589962
524,-2.76e-06,-0.000589962
525,-2.75e-06,0.00217012
526,-2.74e-06,0.000790078
527,-2.73e-06,0.000790078
528,-2.72e-06,0.00217012
529,-2.71e-06,0.000790078
530,-2.7e-06,0.000790078
531,-2.69e-06,0.00217012
532,-2.68e-06,-0.000589962
533,-2.67e-06,-0.000589962
534,-2.66e-06,0.000790078
535,-2.65e-06,-0.000589962
536,-2.64e-06,0.000790078
537,-2.63e-06,-0.000589962
538,-2.62e-06,-0.000589962
539,-2.61e-06,0.000790078
540,-2.6e-06,-0.000589962
541,-2.59e-06,-0.000589962
