Sample,Time(S),CH1(V)
208,-4.792,0.0324479
209,-4.791,0.0341867
210,-4.79,0.0341867
211,-4.789,0.0359256
212,-4.788,0.0359256
213,-4.787,0.0394033
214,-4.786,0.0394033
215,-4.785,0.0411421
216,-4.784,0.0411421
217,-4.783,0.0446198
218,-4.782,0.0411421
219,-4.781,0.0463587
220,-4.78,0.0463587
221,-4.779,0.0463587
222,-4.778,0.0463587
223,-4.777,0.0463587
224,-4.776,0.0446198
225,-4.775,0.0446198
226,-4.774,0.0446198
227,-4.773,0.0411421
228,-4.772,0.0411421
229,-4.771,0.0376644
230,-4.77,0.0376644
231,-4.769,0.0376644
232,-4.768,0.0341867
233,-4.767,0.0341867
234,-4.766,0.0324479
235,-4.765,0.030709
236,-4.764,0.030709
237,-4.763,0.0289702
238,-4.762,0.0272313
239,-4.761,0.0254925
240,-4.76,0.0220148
241,-4.759,0.0220148
242,-4.758,0.0202759
243,-4.757,0.0167982
244,-4.756,0.0167982
245,-4.755,0.0150594
246,-4.754,0.0115817
247,-4.753,0.0115817
248,-4.752,0.00984281
249,-4.751,0.00810396
250,-4.75,0.00810396
251,-4.749,0.00462626
252,-4.748,0.00636511
253,-4.747,0.00288741
254,-4.746,0.00288741
255,-4.745,0.00288741
256,-4.744,0.00288741
257,-4.743,0.00288741
258,-4.742,0.00288741
259,-4.741,0.00288741
260,-4.74,0.00114856
261,-4.739,0.00114856
262,-4.738,0.00114856
263,-4.737,0.00114856
264,-4.736,0.00288741
265,-4.735,0.00288741
266,-4.734,0.00288741
267,-4.733,0.00288741
268,-4.732,0.00288741
269,-4.731,0.00288741
270,-4.73,0.00288741
271,-4.729,0.00114856
272,-4.728,0.00462626
273,-4.727,0.00462626
274,-4.726,0.00462626
275,-4.725,0.00462626
276,-4.724,0.00462626
277,-4.723,0.00462626
278,-4.722,0.00462626
279,-4.721,0.00462626
280,-4.72,0.00462626
281,-4.719,0.00462626
282,-4.718,0.00636511
283,-4.717,0.00636511
284,-4.716,0.00636511
285,-4.715,0.00636511
286,-4.714,0.00984281
287,-4.713,0.00810396
288,-4.712,0.0115817
289,-4.711,0.00984281
290,-4.71,0.0133205
291,-4.709,0.0115817
292,-4.708,0.0150594
293,-4.707,0.0150594
294,-4.706,0.0150594
295,-4.705,0.0150594
296,-4.704,0.0202759
297,-4.703,0.0167982
298,-4.702,0.0220148
299,-4.701,0.0220148
300,-4.7,0.0237536
301,-4.699,0.0237536
302,-4.698,0.0254925
303,-4.697,0.0254925
304,-4.696,0.0272313
305,-4.695,0.0254925
306,-4.694,0.0289702
307,-4.693,0.0272313
308,-4.692,0.030709
309,-4.691,0.030709
310,-4.69,0.030709
311,-4.689,0.0289702
312,-4.688,0.0324479
313,-4.687,0.0324479
314,-4.686,0.0324479
315,-4.685,0.030709
316,-4.684,0.030709
317,-4.683,0.030709
318,-4.682,0.0289702
319,-4.681,0.0289702
320,-4.68,0.0272313
321,-4.679,0.0272313
322,-4.678,0.0237536
323,-4.677,0.0237536
324,-4.676,0.0220148
325,-4.675,0.0220148
326,-4.674,0.0167982
